diameter1,length1,br1,gauss1
4,4,8500,594.3
4,4,8700,622.6
4,4,8900,651.6
4,4,9100,681.2
4,4,9300,711.4
4,5,8500,742.9
4,5,8700,778.3
4,5,8900,814.4
4,5,9100,851.5
4,5,9300,889.3
4,6,8500,891.5
4,6,8700,933.9
4,6,8900,977.4
4,6,9100,1021.8
4,6,9300,1067.2
5,4,8500,742.9
5,4,8700,778.3
5,4,8900,814.4
5,4,9100,851.5
5,4,9300,889.3
5,5,8500,928.6
5,5,8700,972.8
5,5,8900,1018.1
5,5,9100,1064.4
5,5,9300,1111.6
5,6,8500,1114.4
5,6,8700,1167.4
5,6,8900,1221.7
5,6,9100,1277.2
5,6,9300,1334.0
6,4,8500,891.5
6,4,8700,933.9
6,4,8900,977.4
6,4,9100,1021.8
6,4,9300,1067.2
6,5,8500,1114.4
6,5,8700,1167.4
6,5,8900,1221.7
6,5,9100,1277.2
6,5,9300,1334.0
6,6,8500,1337.2
6,6,8700,1400.9
6,6,8900,1466.0
6,6,9100,1532.7
6,6,9300,1600.8
8,4,8500,1188.6
8,4,8700,1245.3
8,4,8900,1303.1
8,4,9100,1362.4
8,4,9300,1422.9
8,5,8500,1485.8
8,5,8700,1556.6
8,5,8900,1628.9
8,5,9100,1702.9
8,5,9300,1778.6
8,6,8500,1782.9
8,6,8700,1867.8
8,6,8900,1954.7
8,6,9100,2043.6
8,6,9300,2134.4
3.9692255246774044,3.734683131956658,8420.645906859045,540.4
3.9692255246774044,3.734683131956658,8793.755317992254,589.3
3.9692255246774044,3.734683131956658,8891.744546648026,602.6
3.9692255246774044,3.734683131956658,9039.73565015585,622.8
3.9692255246774044,3.734683131956658,9218.657294283425,647.7
3.9692255246774044,5.539588774292766,8518.149020309864,820.3
3.9692255246774044,5.539588774292766,8616.572945538066,839.3
3.9692255246774044,5.539588774292766,8939.809611074925,903.4
3.9692255246774044,5.539588774292766,9002.394860343713,916.1
3.9692255246774044,5.539588774292766,9216.862658682536,960.3
3.9692255246774044,5.342272438738927,8515.841673732408,790.6
3.9692255246774044,5.342272438738927,8716.75604665662,828.3
3.9692255246774044,5.342272438738927,8897.86415283085,863.1
3.9692255246774044,5.342272438738927,9090.370604851078,900.9
3.9692255246774044,5.342272438738927,9255.314808170537,933.9
5.390410932450007,3.8293867767708014,8601.873706828746,785.3
5.390410932450007,3.8293867767708014,8707.017685439032,804.6
5.390410932450007,3.8293867767708014,8806.001812069126,822.9
5.390410932450007,3.8293867767708014,9192.871480094102,896.8
5.390410932450007,3.8293867767708014,9391.008447923274,935.9
5.390410932450007,4.698002253718634,8403.835970132764,919.5
5.390410932450007,4.698002253718634,8672.914286014822,979.3
5.390410932450007,4.698002253718634,8899.944333365886,1031.3
5.390410932450007,4.698002253718634,9070.23328350592,1071.1
5.390410932450007,4.698002253718634,9362.678791590666,1141.3
5.390410932450007,5.79738971452362,8499.099842003327,1160.6
5.390410932450007,5.79738971452362,8773.360237768344,1236.6
5.390410932450007,5.79738971452362,8802.843752062352,1245.0
5.390410932450007,5.79738971452362,9061.85971579113,1319.3
5.390410932450007,5.79738971452362,9303.072301725324,1390.5
5.522573513532333,3.606998190374418,8408.870405984999,724.1
5.522573513532333,3.606998190374418,8591.146010769997,755.9
5.522573513532333,3.606998190374418,8813.313839971528,795.5
5.522573513532333,3.606998190374418,9073.860135839053,843.2
5.522573513532333,3.606998190374418,9197.123110430985,866.3
5.522573513532333,5.1322843466719545,8438.407957007325,1037.6
5.522573513532333,5.1322843466719545,8751.760051925572,1116.1
5.522573513532333,5.1322843466719545,8966.634066924516,1171.6
5.522573513532333,5.1322843466719545,9112.385943533442,1210.0
5.522573513532333,5.1322843466719545,9368.880106900226,1279.1
5.522573513532333,5.677946034753649,8401.22844018725,1137.8
5.522573513532333,5.677946034753649,8766.995887266581,1239.1
5.522573513532333,5.677946034753649,8854.320794272056,1263.9
5.522573513532333,5.677946034753649,9025.182674543155,1313.1
5.522573513532333,5.677946034753649,9260.551725412199,1382.5
4.8077749579726445,6.540443623794177,9268.600363494428,1388.8
7.256340976780777,6.923669097642616,7868.374329552073,1599.1
7.770581252060091,3.425939283737213,5782.541476984743,457.6
6.987271553157435,2.7060493886451527,5396.82151325445,283.1
2.446072710330931,5.1199423344125545,9298.725196397814,556.8
5.103789071598622,3.34863575243362,7056.23567577959,437.5
6.124130833280616,6.92064381120036,6576.842740700203,942.5
2.926337895587527,2.909426733193796,8874.07269857789,344.7
2.3721729202048225,4.77565214288304,9440.177507392873,519.1
5.726480168747448,5.890331300133969,8591.139823352518,1279.9
2.0589449402936157,4.664148191761171,9846.587158248056,478.7
4.045370907999489,3.063310216095817,5284.776756860561,177.9
4.548552464433646,5.348707507568505,7179.159436923532,644.7
6.460569139866842,5.563937240837286,5027.311463742226,467.1
6.423615256470825,6.843641927063658,5136.604202625337,596.3
7.426996269382523,6.030357043250746,5324.855777729601,652.9
2.7765249011153363,5.1255819113180845,7430.8466954586365,404.0
5.084475008010962,2.544306686830238,7493.578738103484,373.5
5.330834622778054,2.8930624281740025,7885.885574329117,493.1
2.3434770278035453,7.996178939212578,6118.910969018348,360.7
7.2338908626026175,3.5826916742381147,8600.254643398352,985.5
5.124974458402481,4.10008092788234,8744.027470066058,826.0
6.1247909933107225,2.575759514512998,5616.933578140835,255.9
5.774043528002393,5.161852174268869,9479.3942313259,1376.9
4.287936387454348,7.448246471162499,5930.722815247014,577.6
5.250083630196933,6.330092406790228,8427.137046312768,1213.4
6.133167679492167,4.870088699220538,7736.418382475213,919.1
6.465351460051341,7.301622107533674,6507.308369454828,1027.8
2.029266828297162,2.6425817666276394,7460.676727930626,153.4
5.138605699020432,7.937792219079125,8708.739378520731,1590.4
7.714729084987519,3.2940557252580938,9962.296431595827,1296.7
4.0798169421188915,7.392352399659135,9194.14628019185,1310.7
6.039653868610165,4.017892053510982,9374.24223774162,1096.3
7.237715282113848,7.054089034562001,7753.045705778082,1577.8
3.4732361972367776,6.580026550956713,5813.92339555062,397.1
6.300725389183606,5.909727198212103,9600.702437970656,1764.5
6.334107801164217,3.5320506492844417,5529.405303028312,351.7
6.456038367358279,3.0375404072184153,6131.44854659914,379.0
3.762729159861436,3.299973010388243,6733.039214882193,289.4
6.445999734268762,2.2664247662113093,9586.854835151915,690.3
5.7483937412642145,7.137858712747018,6501.610247847737,891.7
6.990222817210195,7.009689632026776,5427.568194937,742.1
7.689976065803008,3.6651444354095126,8240.574251342217,984.0
3.80308040330645,7.063811359905442,9030.069509046392,1126.2
2.9414984494531193,7.681038268861304,9624.525852435607,1076.0
5.357581648425414,4.632696009972528,5057.50857451086,326.4
4.672765635357077,7.901486503768647,6247.375306005125,740.9
4.767595830737332,3.598563399555789,9096.675082568087,729.9
5.59248589779881,3.841709668413205,5319.111141122467,312.5
6.299485233036349,2.301945265147313,5443.474443960896,220.9
6.044908549107041,4.029227175247258,6423.051330592866,516.6
2.757722080569267,3.5186823845109805,5238.584959671394,136.9
